from,to
"D05206","H01730"
"D10941","H00845"
"D10247","H01634"
"D02165","H00014"
"D12055","H00014"
"D09731","H01601"
"D10776","H00328"
"D00471","H01045"
"D09848","H00409"
"D00407","H01463"
"D00565","H01635"
"D09592","H00409"
"D10891","H00014"
"D11406","H00455"
"D02748","H00038"
"D02177","H00040"
"D00751","H00079"
"D09701","H00024"
"D00290","H00305"
"D00979","H01463"
"D11382","H01563"
"D01136","H00219"
"D10299","H01109"
"D00224","H01532"
"D10778","H00413"
"D00457","H01609"
"D03211","H00363"
"D00943","H01331"
"D07523","H00183"
"D03903","H00322"
"D00975","H01652"
"D09587","H01601"
"D01441","H01591"
"D00374","H01649"
"D02229","H01621"
"D01161","H00031"
"D02580","H01646"
"D00472","H01672"
"D03234","H01709"
"D03020","H00126"
"D01179","H01646"
"D04540","H00409"
"D02997","H00002"
"D00290","H00323"
"D03218","H00021"
"D04715","H00020"
"D05394","H01483"
"D00216","H00409"
"D01426","H00812"
"D04715","H00036"
"D00926","H00334"
"D03940","H01594"
"D00579","H00368"
"D10192","H00029"
"D10181","H01714"
"D00180","H01785"
"D01637","H01656"
"D01990","H01175"
"D01264","H00003"
"D10441","H00612"
"D00088","H01648"
"D01310","H01609"
"D00661","H01502"
"D00088","H01585"
"D11045","H00024"
"D00751","H00630"
"D11031","H00612"
"D10602","H01445"
"D00979","H00342"
"D00169","H00630"
"D10501","H01714"
"D00276","H00320"
"D00184","H00083"
"D00515","H01632"
"D01275","H00022"
"D05032","H00126"
"D00983","H01490"
"D00823","H01450"
"D09336","H01639"
"D00983","H01698"
"D00786","H01600"
"D00220","H01176"
"D03228","H00125"
"D01296","H01895"
"D01125","H01656"
"D11097","H01644"
"D10266","H00409"
"D09967","H01674"
"D07486","H00347"
"D03822","H00056"
"D00146","H01604"
"D02122","H00110"
"D03896","H00218"
"D00578","H02392"
"D05815","H01334"
"D00926","H00330"
"D00285","H00299"
"D00351","H01319"
"D02461","H01531"
"D00275","H00022"
"D00391","H00365"
"D10104","H00038"
"D11701","H00228"
"D02166","H00024"
"D10025","H00409"
"D10398","H00024"
"D00455","H01102"
"D02219","H01316"
"D05446","H00031"
"D00966","H00031"
"D02690","H01635"
"D00973","H00342"
"D00351","H01316"
"D05919","H01331"
"D02030","H01589"
"D00472","H01652"
"D00345","H01633"
"D11613","H01053"
"D11558","H00612"
"D09384","H01054"
"D00799","H01649"
"D00673","H01602"
"D11008","H00527"
"D03327","H00017"
"D09980","H00031"
"D09756","H00409"
"D00573","H00024"
"D02374","H00612"
"D02216","H00297"
"D00973","H01360"
"D00981","H01299"
"D03441","H00286"
"D06315","H00079"
"D01426","H00360"
"D00162","H00342"
"D00978","H00079"
"D00978","H01357"
"D00975","H01532"
"D00186","H00328"
"D00472","H01674"
"D03546","H00002"
"D01155","H00027"
"D05364","H01862"
"D05429","H00079"
"D11567","H00409"
"D00583","H00083"
"D00892","H01635"
"D00472","H01648"
"D01275","H02427"
"D00961","H00024"
"D02121","H01424"
"D11323","H01613"
"D01053","H00343"
"D00655","H00612"
"D01068","H00023"
"D02461","H01530"
"D09029","H00126"
"D00780","H01388"
"D02009","H00311"
"D00570","H01532"
"D08956","H00004"
"D03978","H01132"
"D02598","H01674"
"D02994","H02418"
"D00144","H00342"
"D00578","H00363"
"D02340","H01653"
"D11472","H02398"
"D00751","H01672"
"D02119","H00334"
"D11225","H01445"
"D10261","H00409"
"D00981","H01490"
"D10316","H00048"
"D10453","H00338"
"D02715","H01466"
"D07866","H00024"
"D10438","H01656"
"D11576","H00630"
"D00981","H01328"
"D02572","H01895"
"D11053","H00020"
"D02597","H01507"
"D00979","H01357"
"D02461","H00328"
"D00128","H01175"
"D00292","H00237"
"D11077","H00167"
"D00290","H00349"
"D09675","H00126"
"D00229","H00315"
"D10317","H00409"
"D00407","H00216"
"D00501","H01629"
"D02908","H00042"
"D10952","H00551"
"D00088","H01358"
"D09733","H00014"
"D11966","H01563"
"D00638","H00731"
"D09315","H00282"
"D10967","H01490"
"D00796","H01649"
"D03257","H00018"
"D00295","H01522"
"D10534","H01656"
"D01552","H00058"
"D11932","H01656"
"D02461","H01314"
"D00146","H01694"
"D11706","H01634"
"D02472","H00361"
"D00687","H01714"
"D10176","H00014"
"D02994","H01655"
"D01068","H01512"
"D00515","H01730"
"D07895","H01633"
"D05374","H01664"
"D00292","H00080"
"D00294","H01267"
"D06402","H01591"
"D09766","H01730"
"D11008","H00837"
"D00088","H00079"
"D01619","H01358"
"D00334","H01635"
"D00472","H00630"
"D00473","H01606"
"D01264","H00002"
"D00296","H01563"
"D02165","H00024"
"D10516","H01653"
"D02112","H01587"
"D11035","H01714"
"D00619","H00731"
"D00125","H00023"
"D04478","H01641"
"D00742","H00630"
"D00435","H01563"
"D00335","H00409"
"D00350","H01316"
"D00350","H01328"
"D11017","H02309"
"D00888","H00363"
"D00584","H00039"
"D00669","H01609"
"D00981","H01521"
"D00407","H01695"
"D09572","H01621"
"D01935","H00014"
"D08011","H01366"
"D00981","H00080"
"D00583","H00031"
"D02754","H01656"
"D11576","H01674"
"D04489","H01613"
"D12149","H01206"
"D08493","H00612"
"D00127","H00630"
"D10588","H00409"
"D10752","H00409"
"D00368","H01090"
"D11039","H01563"
"D00118","H01674"
"D02499","H01563"
"D01982","H01563"
"D02114","H00361"
"D02129","H00323"
"D08858","H01381"
"D00483","H01730"
"D00140","H00343"
"D00850","H00354"
"D05700","H01632"
"D02129","H00325"
"D05429","H01714"
"D08865","H01633"
"D00902","H00398"
"D00901","H00398"
"D03925","H00343"
"D04539","H00409"
"D10082","H01609"
"D00978","H00080"
"D10733","H00031"
"D01061","H00019"
"D00742","H01672"
"D10574","H00007"
"D04197","H00020"
"D00975","H01466"
"D00666","H01360"
"D00290","H01440"
"D00307","H00323"
"D00973","H01694"
"D05408","H00334"
"D02747","H00413"
"D05251","H00079"
"D00307","H01325"
"D00751","H00237"
"D00290","H00332"
"D11712","H01592"
"D00831","H00361"
"D02134","H01458"
"D10825","H00057"
"D10505","H01714"
"D00483","H01632"
"D10582","H00413"
"D00882","H00363"
"D02745","H00412"
"D00240","H01176"
"D05408","H00339"
"D11014","H00413"
"D11656","H01360"
"D10699","H01342"
"D00793","H01649"
"D00944","H00409"
"D00979","H01694"
"D01984","H01522"
"D06272","H00048"
"D09321","H00005"
"D08890","H01637"
"D00180","H01802"
"D02129","H01318"
"D00142","H01672"
"D02398","H00024"
"D00656","H01633"
"D00481","H01634"
"D09196","H01633"
"D08035","H01649"
"D00428","H00630"
"D02168","H00027"
"D00473","H01694"
"D01068","H01463"
"D10459","H00409"
"D00307","H00110"
"D01832","H01293"
"D00978","H01358"
"D02461","H01517"
"D00249","H00437"
"D00088","H00080"
"D11451","H01445"
"D03021","H01481"
"D00458","H01649"
"D00369","H00010"
"D00748","H00021"
"D10744","H01714"
"D11989","H01895"
"D05374","H01670"
"D00368","H01092"
"D10687","H01054"
"D04489","H00011"
"D05408","H00336"
"D00211","H00342"
"D08488","H01632"
"D00141","H00630"
"D02078","H01293"
"D02200","H00612"
"D00491","H00014"
"D11138","H02421"
"D10192","H00030"
"D11870","H00010"
"D03903","H00348"
"D00353","H01563"
"D02724","H00612"
"D00203","H00364"
"D09966","H00038"
"D00567","H01674"
"D00351","H01652"
"D01053","H00339"
"D02567","H01646"
"D00694","H01662"
"D02168","H00013"
"D05259","H00320"
"D00407","H01648"
"D02461","H01515"
"D00973","H01648"
"D00689","H01360"
"D00578","H01328"
"D00180","H00549"
"D05134","H00002"
"D00236","H01521"
"D11624","H01895"
"D00135","H00342"
"D06347","H00384"
"D05349","H00218"
"D00168","H00004"
"D01363","H00027"
"D10801","H00368"
"D00905","H00334"
"D02691","H01563"
