from,to
"T40087","H00044"
"ses","H00113"
"bmb","H00325"
"nfa","H00345"
"T40065","H00383"
"nbr","H01451"
"T40052","H00379"
"see","H00113"
"T40125","H00283"
"T40025","H00378"
"T40088","H00044"
"T40063","H00383"
"T40022","H00377"
"lmi","H00359"
"T40069","H00402"
"gla","H00362"
"ype","H00297"
"bal","H00328"
"T40087","H01559"
"T40088","H00029"
"cgi","H00364"
"ldo","H00359"
"T40068","H00411"
"T40068","H02162"
"elh","H00280"
"T40004","H00412"
"mpe","H00341"
"ccu","H01331"
"tsm","H01050"
"T40102","H00371"
"T40041","H00399"
"bhe","H00326"
"T40362","H02442"
"T40040","H00398"
"cgr","H00363"
"T40327","H02166"
"T40126","H02354"
"req","H01021"
"T40100","H01420"
"mct","H01072"
"lif","H00359"
"T40048","H00382"
"T40079","H00007"
"llo","H00311"
"ssa","H00334"
"rms","H00323"
"T40096","H00383"
"T40328","H01322"
"rco","H00323"
"sapo","H02392"
"T40037","H00398"
"mtl","H01472"
"T40103","H01327"
"afm","H01328"
"aph","H01139"
"T40034","H00396"
"bbu","H01493"
"T40007","H01543"
"T40058","H00383"
"T40049","H00382"
"hil","H01366"
"T40028","H01547"
"rty","H00322"
"T40032","H01546"
"svi","H01411"
"T40361","H02398"
"T40056","H01537"
"T40070","H00395"
"bdu","H00427"
"T40051","H01555"
"T40007","H02173"
"pvx","H00361"
"lkm","H00355"
"tsp","H01099"
"T40017","H00389"
"mchi","H01458"
"mchi","H02029"
"bmay","H00353"
"pbl","H01329"
"T40026","H00382"
"bgh","H01501"
"T40102","H01320"
"T40033","H01696"
"sam","H01442"
"T40006","H00385"
"T40085","H02162"
"T40369","H02511"
"T40066","H02162"
"cho","H00356"
"hdu","H00305"
"T40085","H00414"
"ser","H01401"
"nse","H01140"
"mlen","H01176"
"seec","H00113"
"trm","H01408"
"T40098","H01418"
"nda","H01451"
"gbe","H01167"
"aap","H00334"
"cdu","H00363"
"mgl","H01652"
"T40010","H02173"
"ctu","H00300"
"T40087","H00029"
"msto","H01458"
"T40073","H02536"
"lbz","H00359"
"mgl","H01334"
"lma","H00359"
"T40057","H00382"
"acav","H01074"
"sec","H00113"
"T40368","H02442"
"T40079","H00054"
"T40030","H01549"
"uue","H00388"
"T40014","H00283"
