from,to,action
"K24123","H01282",unknown
"K12185","H01439",unknown
"K01689","H01953",unknown
"K03937","H00473",unknown
"K10080","H00221",unknown
"K10595","H00768",unknown
"K05699","H01740",unknown
"K09042","H00408","polymorphism"
"K03131","H01879",unknown
"K24181","H00088",unknown
"K08670","H00739",unknown
"K05480","H00625",unknown
"K03880","H00473",unknown
"K19326","H02299",unknown
"K04840","H02362",unknown
"K22862","H02157",unknown
"K12324","H00470",unknown
"K06465","H00088",unknown
"K04273","H00667",unknown
"K17732","H01894",unknown
"K04377","H01554","overexpression"
"K01217","H00421",unknown
"K00678","H00837",unknown
"K25179","H00821",unknown
"K00234","H00294",unknown
"K00311","H01400",unknown
"K05606","H00174",unknown
"K07151","H00118",unknown
"K04456","H01649",unknown
"K14970","H00033","LOH, mutation"
"K14006","H00917",unknown
"K23897","H02362",unknown
"K00901","H01726",unknown
"K00966","H01960",unknown
"K18442","H00270",unknown
"K20719","H00058",unknown
"K13158","H02031",unknown
"K18259","H01277",unknown
"K01202","H00423",unknown
"K08052","H02541",unknown
"K19466","H00454",unknown
"K21954","H01202",unknown
"K22046","H02463",unknown
"K05087","H00050","overexpression"
"K01134","H00127",unknown
"K15588","H00718",unknown
"K06101","H00773",unknown
"K19671","H00529",unknown
"K24230","H00564",unknown
"K11290","H00773",unknown
"K21398","H01196",unknown
"K24356","H00838",unknown
"K05251","H00250",unknown
"K11253","H01470","mutation"
"K09405","H00826",unknown
"K02740","H01741",unknown
"K08768","H00420",unknown
"K10570","H00403",unknown
"K06840","H00255",unknown
"K04825","H00243",unknown
"K04145","H01611","polymorphism"
"K19872","H01959",unknown
"K04365","H01738",unknown
"K06526","H01621",unknown
"K06632","H01897",unknown
"K13024","H00605",unknown
"K23420","H01358","polymorphism"
"K24622","H00734",unknown
"K03068","H00545",unknown
"K20913","H01659",unknown
"K16938","H01131",unknown
"K00604","H00473",unknown
"K04664","H00483",unknown
"K12758","H00811",unknown
"K03878","H00068",unknown
"K04648","H00879",unknown
"K13728","H00238",unknown
"K24242","H00674",unknown
"K17686","H00209",unknown
"K05334","H00905",unknown
"K16531","H00418",unknown
"K08734","H00020","germline mutation (HNPCC), LOH, promoter hypermethylation"
"K01110","H00026","mutation, deletions, methylation"
"K19676","H02157",unknown
"K08739","H00876",unknown
"K19404","H00667",unknown
"K08775","H00027","germline mutation / deletion"
"K05209","H01514",unknown
"K01229","H00116",unknown
"K00326","H00235",unknown
"K22961","H00787",unknown
"K02085","H01667","mutation"
"K13214","H00658",unknown
"K01313","H00223",unknown
"K24864","H00266",unknown
"K22761","H02041",unknown
"K11988","H00267",unknown
"K07427","H00825",unknown
"K04377","H00010","dysregulation"
"K08073","H00264",unknown
"K06773","H00027",unknown
"K11367","H02507",unknown
"K09342","H00913",unknown
"K04687","H01563","rapid progression"
"K18684","H00734",unknown
"K00901","H01657",unknown
"K08736","H00020","somatic frameshift mutation"
"K13129","H00455",unknown
"K17589","H00031",unknown
"K04957","H00728",unknown
"K04377","H00027","overexpression"
"K13811","H00761",unknown
"K22138","H02197",unknown
"K08775","H00019",unknown
"K06528","H01781",unknown
"K18161","H00473",unknown
"K06229","H00895",unknown
"K07832","H00523",unknown
"K08367","H00978",unknown
"K23949","H01193",unknown
"K04363","H00042","overexpression, amplification"
"K10161","H01358","polymorphism"
"K09517","H00542",unknown
"K04707","H02190",unknown
"K05080","H02037",unknown
"K14235","H01347",unknown
"K22495","H00599",unknown
"K04634","H01809",unknown
"K04692","H00016","expression"
"K06252","H00802",unknown
"K05624","H00063",unknown
"K12831","H01376",unknown
"K04995","H00239",unknown
"K23342","H00660",unknown
"K12324","H02543",unknown
"K19685","H02547",unknown
"K08784","H01757",unknown
"K10151","H00023","amplification"
"K20164","H00606",unknown
"K00069","H01246",unknown
"K15194","H00658",unknown
"K14018","H02461",unknown
"K04451","H00006","mutation"
"K01490","H02237",unknown
"K10532","H00421",unknown
"K05090","H00028","overexpression"
"K18160","H00473",unknown
"K04202","H02106",unknown
"K08757","H00930",unknown
"K03871","H00236",unknown
"K11217","H02537",unknown
"K19719","H02070",unknown
"K14437","H00255",unknown
"K20042","H02526",unknown
"K24210","H00734",unknown
"K01922","H00294",unknown
"K04969","H00626",unknown
"K00948","H01209",unknown
"K09782","H00020","overexpression"
"K06125","H01614",unknown
"K20872","H00527",unknown
"K05175","H00808",unknown
"K07372","H00547",unknown
"K23417","H00932",unknown
"K17544","H01922",unknown
"K11422","H02535",unknown
"K16754","H00537",unknown
"K19522","H00832",unknown
"K19017","H00814",unknown
"K05747","H01523",unknown
"K00412","H01355",unknown
"K08032","H00410",unknown
"K07827","H00027","mutation"
"K01847","H01400",unknown
"K09027","H01653",unknown
"K23841","H00779",unknown
"K04612","H00245",unknown
"K24553","H01208",unknown
"K00383","H00668",unknown
"K19613","H02191",unknown
"K00844","H02470",unknown
"K22072","H01894",unknown
"K13279","H02221",unknown
"K07372","H01095",unknown
"K09446","H00630",unknown
"K15377","H00604",unknown
"K25366","H00506",unknown
"K04377","H01509","amplification"
"K23097","H00636",unknown
"K14301","H01657",unknown
"K10165","H01358","polymorphism"
"K06255","H01777",unknown
"K03940","H01354",unknown
"K05099","H00046","overexpression"
"K03509","H01428",unknown
"K00502","H01895",unknown
"K17398","H01481",unknown
"K17259","H00842",unknown
"K12479","H00100",unknown
"K21891","H02415",unknown
"K04646","H00773",unknown
"K10415","H02461",unknown
"K09784","H00020","overexpression"
"K13105","H00021",unknown
"K01205","H00421",unknown
"K06643","H00036","amplification"
"K12389","H02275",unknown
"K04189","H00097",unknown
"K09331","H00492",unknown
"K11459","H00025","overexpression"
"K00069","H00457",unknown
"K14381","H02342",unknown
"K03884","H01347",unknown
"K15362","H00238",unknown
"K06744","H01490",unknown
"K07622","H00605",unknown
"K16359","H02397",unknown
"K10258","H00768",unknown
"K05437","H00236",unknown
"K00699","H01593","polymorphism"
"K08422","H02367",unknown
"K09182","H00978",unknown
"K14006","H01105",unknown
"K13822","H00235",unknown
"K08018","H02213",unknown
"K05236","H01232",unknown
"K20797","H00810",unknown
"K14702","H00251",unknown
"K01346","H02384",unknown
"K14573","H00621",unknown
"K04837","H00745",unknown
"K11143","H00564",unknown
"K07748","H00496",unknown
"K07292","H00410",unknown
"K07378","H01882",unknown
"K11276","H02411","mutation"
"K15162","H01795",unknown
"K24228","H01282",unknown
"K01698","H00202",unknown
"K10051","H00101",unknown
"K04812","H00770",unknown
"K06070","H02453",unknown
"K18163","H00473",unknown
"K05448","H01529","polymorphism"
"K02320","H02484",unknown
"K15102","H01348",unknown
"K24403","H01899",unknown
"K23958","H00626",unknown
"K04674","H00018","reduced expression"
"K08214","H00037",unknown
"K20295","H00119",unknown
"K22030","H01869",unknown
"K05435","H01358","polymorphism"
"K16675","H00658",unknown
"K01315","H01006",unknown
"K18184","H01368",unknown
"K04390","H00005","absent"
"K05742","H01891",unknown
"K19367","H00266",unknown
"K12891","H02410","mutation"
"K01915","H01400",unknown
"K13878","H00527",unknown
"K07925","H00480",unknown
"K10408","H01282",unknown
"K22459","H02041",unknown
"K12805","H02159",unknown
"K01292","H01136",unknown
"K07209","H00093",unknown
"K12381","H00779",unknown
"K18487","H01195",unknown
"K09654","H02307",unknown
"K13344","H00205",unknown
"K07827","H01557","mutation"
"K15162","H00894",unknown
"K20304","H02461",unknown
"K01953","H01386",unknown
"K06052","H00551",unknown
"K06825","H01173",unknown
"K05147","H00436",unknown
"K21848","H00606",unknown
"K07433","H00602",unknown
"K06784","H00554",unknown
"K06244","H00586",unknown
"K14228","H01347",unknown
"K24183","H02459",unknown
"K07827","H00014","mutation"
"K23013","H00730",unknown
"K00643","H01763",unknown
"K05083","H00046","overexpression, amplification"
"K19475","H01523",unknown
"K03902","H00220",unknown
"K14304","H01657",unknown
"K04861","H00481",unknown
"K16362","H00255",unknown
"K23294","H00606",unknown
"K05438","H00254",unknown
"K09330","H00916",unknown
"K19469","H02106",unknown
"K04732","H00079",unknown
"K22183","H00507",unknown
"K14165","H01892","translocation"
"K08463","H00865",unknown
"K03942","H00473",unknown
"K07604","H00726",unknown
"K19613","H00523",unknown
"K09333","H00481",unknown
"K05094","H02069",unknown
"K09298","H00649",unknown
"K13908","H01299",unknown
"K06236","H01593","polymorphism"
"K10707","H00058",unknown
"K24370","H02376",unknown
"K04985","H00542",unknown
"K10399","H00624",unknown
"K13132","H02461",unknown
"K08745","H00741",unknown
"K11651","H01556","mutation"
"K07605","H00691",unknown
"K25291","H02463",unknown
"K02308","H00045","mutation"
"K09234","H00607",unknown
"K05011","H00808",unknown
"K10374","H00698",unknown
"K03027","H00610",unknown
"K14379","H01576",unknown
"K04498","H02434","mutation/deletion"
"K10742","H00992",unknown
"K04201","H02106",unknown
"K17402","H00891",unknown
"K03691","H00944",unknown
"K03954","H01354",unknown
"K06630","H00268",unknown
"K09383","H00011","translocation"
"K04383","H00084","polymorphism"
"K09374","H02036",unknown
"K12496","H02359",unknown
"K12567","H01976",unknown
"K04837","H00746",unknown
"K00237","H02005",unknown
"K04427","H02226",unknown
"K09267","H00658",unknown
"K14994","H01256",unknown
"K11265","H02340",unknown
"K16272","H01308",unknown
"K14462","H01270",unknown
"K06538","H00083","polymorphism"
"K19374","H01439",unknown
"K01203","H00115",unknown
"K22913","H00264",unknown
"K15625","H00050","translocation"
"K23498","H00266",unknown
"K21852","H01413",unknown
"K03575","H01025",unknown
"K06237","H01209",unknown
"K07200","H01154",unknown
"K19365","H00856",unknown
"K06252","H01037",unknown
"K01689","H00069",unknown
"K11502","H00269",unknown
"K07410","H01159",unknown
"K05664","H02192",unknown
"K05765","H00698",unknown
"K10381","H00584",unknown
"K08367","H00003","mutation"
"K18437","H01570",unknown
"K10570","H00076",unknown
"K12044","H00292",unknown
"K20192","H00166",unknown
"K05840","H01895",unknown
"K15618","H00006","mutation"
"K04926","H00731",unknown
"K05283","H01488",unknown
"K02154","H00436",unknown
"K07296","H00967",unknown
"K05357","H00995",unknown
"K08367","H00003","translocation"
"K10628","H00093",unknown
"K04854","H00063",unknown
"K22543","H01556",unknown
"K10453","H01259",unknown
"K21421","H01167","Chronic granulomatous disease"
"K19867","H00292",unknown
"K09671","H00954",unknown
"K04632","H01483",unknown
"K01681","H02113",unknown
"K25318","H00289",unknown
"K06737","H01174",unknown
"K13342","H00177",unknown
"K25217","H00855","mutation in intron 5"
"K01327","H00100",unknown
"K05357","H01205",unknown
"K05664","H00624",unknown
"K22764","H00261",unknown
"K00830","H00117",unknown
"K08765","H01981",unknown
"K04603","H01891",unknown
"K18024","H00080",unknown
"K04451","H00029","mutation"
"K04664","H00482",unknown
"K09113","H01439",unknown
"K07605","H00722",unknown
"K00728","H02307",unknown
"K04012","H00088",unknown
"K19404","H00784",unknown
"K07617","H01202",unknown
"K09660","H00118",unknown
"K16765","H02135",unknown
"K23718","H01769",unknown
"K10790","H00291",unknown
"K23295","H00768",unknown
"K03905","H00223",unknown
"K07206","H01692","mutation"
"K23455","H00960",unknown
"K23216","H00773",unknown
"K00658","H02538",unknown
"K10845","H00403",unknown
"K04501","H00019","mutation"
"K24146","H00627",unknown
"K03900","H02092",unknown
"K11136","H00507",unknown
"K07827","H01592",unknown
"K12801","H01227",unknown
"K11652","H02463",unknown
"K03469","H01395",unknown
"K05424","H02059",unknown
"K20289","H00119",unknown
"K08214","H00031",unknown
"K00700","H01942",unknown
"K19362","H00261",unknown
"K01681","H01020",unknown
"K05094","H00022","activating mutation"
"K07621","H00604",unknown
"K09183","H00546",unknown
"K18060","H01351",unknown
"K04687","H01132",unknown
"K11131","H00788",unknown
"K24397","H01649",unknown
"K17404","H00891",unknown
"K04803","H00770",unknown
"K21596","H02273",unknown
"K17166","H02290",unknown
"K01135","H00131",unknown
"K03908","H00223",unknown
"K09850","H00054","promoter hypermethylation"
"K13185","H02459",unknown
"K05771","H01702",unknown
"K24677","H01852",unknown
"K14676","H01898",unknown
"K11424","H01773",unknown
"K10956","H00541",unknown
"K10359","H00604",unknown
"K22399","H01897",unknown
"K04739","H01102",unknown
"K01196","H00069",unknown
"K21917","H00149",unknown
"K19872","H00294",unknown
"K01110","H00024","allelic loss"
"K07897","H00264",unknown
"K08775","H00238",unknown
"K06453","H01492","polymorphism"
"K04510","H00262",unknown
"K07763","H02089",unknown
"K16684","H01667","mutation"
"K11647","H01134",unknown
"K22038","H00085",unknown
"K18190","H01368",unknown
"K23484","H00700",unknown
